"Operation","Resource","API","action"
"Alter","Cluster","AlterReplicaLogDirs","modified"
"Alter","Cluster","CreateAcls","modified"
"Alter","Cluster","DeleteAcls","modified"
"Alter","Topic","CreatePartitions","modified"
"AlterConfigs","Cluster","AlterConfigs","modified"
"AlterConfigs","Topic","AlterConfigs","modified"
"ClusterAction","Cluster","Fetch (for replication only)","read"
"ClusterAction","Cluster","LeaderAndIsr","read"
"ClusterAction","Cluster","OffsetForLeaderEpoch","read"
"ClusterAction","Cluster","StopReplica","stopped"
"ClusterAction","Cluster","UpdateMetadata","updated"
"ClusterAction","Cluster","ControlledShutdown","stopped"
"ClusterAction","Cluster","WriteTxnMarkers","modified"
"Create","Cluster","CreateTopics","created"
"Create","Cluster","Metadata if auto.create.topics.enable","created"
"Create","Topic","Metadata if auto.create.topics.enable","created"
"Create","Topic","CreateTopics","created"
"Delete","Group","DeleteGroups","deleted"
"Delete","Topic","DeleteRecords","deleted"
"Delete","Topic","DeleteTopics","deleted"
"Describe","Cluster","DescribeAcls","read"
"Describe","Cluster","DescribeLogDirs","read"
"Describe","Cluster","ListGroups","read"
"Describe","DelegationToken","DescribeTokens","read"
"Describe","Group","DescribeGroup","read"
"Describe","Group","FindCoordinator","read"
"Describe","Group","ListGroups","read"
"Describe","Topic","ListOffsets","read"
"Describe","Topic","Metadata","read"
"Describe","Topic","OffsetFetch","read"
"Describe","Topic","OffsetForLeaderEpoch","read"
"Describe","TxnId","FindCoordinator","read"
"DescribeConfigs","Cluster","DescribeConfigs","read"
"DescribeConfigs","Topic","DescribeConfigs","read"
"IdempotentWrite","Cluster","InitProducerId","modified"
"IdempotentWrite","Cluster","Produce","modified"
"Read","Group","AddOffsetsToTxn","read"
"Read","Group","Heartbeat","read"
"Read","Group","JoinGroup","read"
"Read","Group","LeaveGroup","read"
"Read","Group","OffsetCommit","read"
"Read","Group","OffsetFetch","read"
"Read","Group","SyncGroup","read"
"Read","Group","TxnOffsetCommit","read"
"Read","Topic","Fetch","read"
"Read","Topic","OffsetCommit","read"
"Read","Topic","TxnOffsetCommit","read"
"Write","Topic","Produce","created"
"Write","TxnId","Produce","created"
"Write","Topic","AddPartitionsToTxn","created"
"Write","TxnId","AddPartitionsToTxn","created"
"Write","TxnId","AddOffsetsToTxn","created"
"Write","TxnId","EndTxn","created"
"Write","TxnId","InitProducerId","created"
"Write","TxnId","TxnOffsetCommit","created"
